,Mass ID,Method,Max Punzi,feature_set,hyperparam_set
0,1, LD,0.008674705,1,1
1,1, MLP,0.01236807,1,1
2,1, MLPBNN,0.008712381,1,1
3,1, DNN_CPU,0.008702175,1,1
4,1, BDTG,0.01030394,1,1
5,1, BDTB,0.007663356,1,1
6,1, BDTD,0.01260503,1,1
7,1, BDTF,0.01202782,1,1
8,2, LD,0.005399568,1,1
9,2, MLP,0.007802682,1,1
10,2, MLPBNN,0.005454905,1,1
11,2, DNN_CPU,0.005437079,1,1
12,2, BDTG,0.006448044,1,1
13,2, BDTB,0.004759493,1,1
14,2, BDTD,0.007955556,1,1
15,2, BDTF,0.007721791,1,1
16,3, LD,0.005768213,1,1
17,3, MLP,0.008318025,1,1
18,3, MLPBNN,0.005823474,1,1
19,3, DNN_CPU,0.005805822,1,1
20,3, BDTG,0.00688412,1,1
21,3, BDTB,0.005085706,1,1
22,3, BDTD,0.008485369,1,1
23,3, BDTF,0.00821878,1,1
24,4, LD,0.008212599,1,1
25,4, MLP,0.01172524,1,1
26,4, MLPBNN,0.008255077,1,1
27,4, DNN_CPU,0.008242972,1,1
28,4, BDTG,0.009762384,1,1
29,4, BDTB,0.007252854,1,1
30,4, BDTD,0.01195679,1,1
31,4, BDTF,0.01143207,1,1
32,1, LD,0.01058082,2,1
33,1, MLP,0.01763488,2,1
34,1, MLPBNN,0.008760304,2,1
35,1, DNN_CPU,0.01168105,2,1
36,1, BDTG,0.01244287,2,1
37,1, BDTB,0.008847716,2,1
38,1, BDTD,0.01620333,2,1
39,1, BDTF,0.01598432,2,1
40,2, LD,0.006595178,2,1
41,2, MLP,0.01135405,2,1
42,2, MLPBNN,0.005466417,2,1
43,2, DNN_CPU,0.007363834,2,1
44,2, BDTG,0.007877071,2,1
45,2, BDTB,0.005497047,2,1
46,2, BDTD,0.01032544,2,1
47,2, BDTF,0.01048965,2,1
48,3, LD,0.007044349,2,1
49,3, MLP,0.01208249,2,1
50,3, MLPBNN,0.005837991,2,1
51,3, DNN_CPU,0.00785528,2,1
52,3, BDTG,0.008398749,2,1
53,3, BDTB,0.005873572,2,1
54,3, BDTD,0.01100097,2,1
55,3, BDTF,0.01113774,2,1
56,4, LD,0.01001913,2,1
57,4, MLP,0.01677409,2,1
58,4, MLPBNN,0.008296544,2,1
59,4, DNN_CPU,0.01107853,2,1
60,4, BDTG,0.01180795,2,1
61,4, BDTB,0.008374199,2,1
62,4, BDTD,0.01539058,2,1
63,4, BDTF,0.01524359,2,1
64,1, LD,0.008478974,3,1
65,1, MLP,0.0130866,3,1
66,1, MLPBNN,0.008709179,3,1
67,1, DNN_CPU,0.01117908,3,1
68,1, BDTG,0.0122323,3,1
69,1, BDTB,0.00889504,3,1
70,1, BDTD,0.01256451,3,1
71,1, BDTF,0.01139087,3,1
72,2, LD,0.005280573,3,1
73,2, MLP,0.00840625,3,1
74,2, MLPBNN,0.005434313,3,1
75,2, DNN_CPU,0.007020981,3,1
76,2, BDTG,0.01077,3,1
77,2, BDTB,0.005527312,3,1
78,2, BDTD,0.008040846,3,1
79,2, BDTF,0.007178564,3,1
80,3, LD,0.005640752,3,1
81,3, MLP,0.008938492,3,1
82,3, MLPBNN,0.005803729,3,1
83,3, DNN_CPU,0.007492741,3,1
84,3, BDTG,0.01077,3,1
85,3, BDTB,0.005905807,3,1
86,3, BDTD,0.008561977,3,1
87,3, BDTF,0.007657928,3,1
88,4, LD,0.008027904,3,1
89,4, MLP,0.01242409,3,1
90,4, MLPBNN,0.008248082,3,1
91,4, DNN_CPU,0.01059689,3,1
92,4, BDTG,0.01159522,3,1
93,4, BDTB,0.008419176,3,1
94,4, BDTD,0.01193708,3,1
95,4, BDTF,0.01080282,3,1
96,1, LD,0.00840868,4,1
97,1, MLP,0.01280003,4,1
98,1, MLPBNN,0.009735229,4,1
99,1, DNN_CPU,0.0108831,4,1
100,1, BDTG,0.0121785,4,1
101,1, BDTB,0.00889504,4,1
102,1, BDTD,0.01256337,4,1
103,1, BDTF,0.01147563,4,1
104,2, LD,0.005242118,4,1
105,2, MLP,0.008212006,4,1
106,2, MLPBNN,0.006096414,4,1
107,2, DNN_CPU,0.006831855,4,1
108,2, BDTG,0.007679558,4,1
109,2, BDTB,0.005527312,4,1
110,2, BDTD,0.008013577,4,1
111,2, BDTF,0.007236166,4,1
112,3, LD,0.005599033,4,1
113,3, MLP,0.008742284,4,1
114,3, MLPBNN,0.006508195,4,1
115,3, DNN_CPU,0.0072913,4,1
116,3, BDTG,0.008187829,4,1
117,3, BDTB,0.005905807,4,1
118,3, BDTD,0.00853691,4,1
119,3, BDTF,0.007718869,4,1
120,4, LD,0.007962489,4,1
121,4, MLP,0.01216759,4,1
122,4, MLPBNN,0.009224468,4,1
123,4, DNN_CPU,0.01031564,4,1
124,4, BDTG,0.01154899,4,1
125,4, BDTB,0.008419176,4,1
126,4, BDTD,0.01193478,4,1
127,4, BDTF,0.01088409,4,1
128,1, LD,0.008413349,5,1
129,1, MLP,0.01274047,5,1
130,1, MLPBNN,0.008690247,5,1
131,1, DNN_CPU,0.01109283,5,1
132,1, BDTG,0.0122139,5,1
133,1, BDTB,0.00889504,5,1
134,1, BDTD,0.01250324,5,1
135,1, BDTF,0.01147563,5,1
136,2, LD,0.005244684,5,1
137,2, MLP,0.008079134,5,1
138,2, MLPBNN,0.005421082,5,1
139,2, DNN_CPU,0.006941548,5,1
140,2, BDTG,0.00861,5,1
141,2, BDTB,0.005527312,5,1
142,2, BDTD,0.007964515,5,1
143,2, BDTF,0.007236166,5,1
144,3, LD,0.005601816,5,1
145,3, MLP,0.008607824,5,1
146,3, MLPBNN,0.005789754,5,1
147,3, DNN_CPU,0.007411005,5,1
148,3, BDTG,0.00861,5,1
149,3, BDTB,0.005905807,5,1
150,3, BDTD,0.008485955,5,1
151,3, BDTF,0.007718869,5,1
152,4, LD,0.007966837,5,1
153,4, MLP,0.01208576,5,1
154,4, MLPBNN,0.008229812,5,1
155,4, DNN_CPU,0.01050977,5,1
156,4, BDTG,0.01158472,5,1
157,4, BDTB,0.008419176,5,1
158,4, BDTD,0.01187545,5,1
159,4, BDTF,0.01088409,5,1
160,1, LD,0.00841555,6,1
161,1, MLP,0.01287369,6,1
162,1, MLPBNN,0.009262316,6,1
163,1, DNN_CPU,0.01107307,6,1
164,1, BDTG,0.01216693,6,1
165,1, BDTB,0.00889504,6,1
166,1, BDTD,0.01219502,6,1
167,1, BDTF,0.01147563,6,1
168,2, LD,0.005236522,6,1
169,2, MLP,0.008124729,6,1
170,2, MLPBNN,0.005813361,6,1
171,2, DNN_CPU,0.006994116,6,1
172,2, BDTG,0.00918,6,1
173,2, BDTB,0.005527312,6,1
174,2, BDTD,0.007693239,6,1
175,2, BDTF,0.007236166,6,1
176,3, LD,0.005594243,6,1
177,3, MLP,0.008665856,6,1
178,3, MLPBNN,0.006204438,6,1
179,3, DNN_CPU,0.007456837,6,1
180,3, BDTG,0.00918,6,1
181,3, BDTB,0.005905807,6,1
182,3, BDTD,0.008205672,6,1
183,3, BDTF,0.007718869,6,1
184,4, LD,0.007966877,6,1
185,4, MLP,0.01221155,6,1
186,4, MLPBNN,0.008779143,6,1
187,4, DNN_CPU,0.01050048,6,1
188,4, BDTG,0.01153067,6,1
189,4, BDTB,0.008419176,6,1
190,4, BDTD,0.01156612,6,1
191,4, BDTF,0.01088409,6,1
192,1, LD,0.00865906,7,1
193,1, MLP,0.01235899,7,1
194,1, MLPBNN,0.009536023,7,1
195,1, DNN_CPU,0.01150936,7,1
196,1, BDTG,0.01235224,7,1
197,1, BDTB,0.008847716,7,1
198,1, BDTD,0.01257259,7,1
199,1, BDTF,0.01210592,7,1
200,2, LD,0.005388284,7,1
201,2, MLP,0.007825009,7,1
202,2, MLPBNN,0.00598405,7,1
203,2, DNN_CPU,0.00721883,7,1
204,2, BDTG,0.01224,7,1
205,2, BDTB,0.005497047,7,1
206,2, BDTD,0.007948594,7,1
207,2, BDTF,0.007686288,7,1
208,3, LD,0.005756344,7,1
209,3, MLP,0.008343108,7,1
210,3, MLPBNN,0.006386673,7,1
211,3, DNN_CPU,0.007705044,7,1
212,3, BDTG,0.01224,7,1
213,3, BDTB,0.005873572,7,1
214,3, BDTD,0.008476299,7,1
215,3, BDTF,0.00819248,7,1
216,4, LD,0.008197455,7,1
217,4, MLP,0.01172852,7,1
218,4, MLPBNN,0.009037596,7,1
219,4, DNN_CPU,0.01090794,7,1
220,4, BDTG,0.01224,7,1
221,4, BDTB,0.008374199,7,1
222,4, BDTD,0.01192884,7,1
223,4, BDTF,0.01149183,7,1
224,1, LD,0.008395958,8,1
225,1, MLP,0.01202997,8,1
226,1, MLPBNN,0.009905172,8,1
227,1, DNN_CPU,0.01107545,8,1
228,1, BDTG,0.0119284,8,1
229,1, BDTB,0.00889504,8,1
230,1, BDTD,0.01208119,8,1
231,1, BDTF,0.01116016,8,1
232,2, LD,0.00522813,8,1
233,2, MLP,0.00761943,8,1
234,2, MLPBNN,0.006189383,8,1
235,2, DNN_CPU,0.006956423,8,1
236,2, BDTG,0.007501985,8,1
237,2, BDTB,0.005527312,8,1
238,2, BDTD,0.007663922,8,1
239,2, BDTF,0.007016552,8,1
240,3, LD,0.005584212,8,1
241,3, MLP,0.008123588,8,1
242,3, MLPBNN,0.006609066,8,1
243,3, DNN_CPU,0.007422802,8,1
244,3, BDTG,0.008004805,8,1
245,3, BDTB,0.005905807,8,1
246,3, BDTD,0.008168374,8,1
247,3, BDTF,0.007487112,8,1
248,4, LD,0.00794807,8,1
249,4, MLP,0.0114169,8,1
250,4, MLPBNN,0.009382633,8,1
251,4, DNN_CPU,0.01049855,8,1
252,4, BDTG,0.01130938,8,1
253,4, BDTB,0.008419176,8,1
254,4, BDTD,0.01146708,8,1
255,4, BDTF,0.01058053,8,1
256,1, LD,0.00837744,9,1
257,1, MLP,0.01267921,9,1
258,1, MLPBNN,0.009131456,9,1
259,1, DNN_CPU,0.01123318,9,1
260,1, BDTG,0.01701,9,1
261,1, BDTB,0.00889504,9,1
262,1, BDTD,0.01189661,9,1
263,1, BDTF,0.01123594,9,1
264,2, LD,0.005226367,9,1
265,2, MLP,0.008023998,9,1
266,2, MLPBNN,0.005696568,9,1
267,2, DNN_CPU,0.007062459,9,1
268,2, BDTG,0.01701,9,1
269,2, BDTB,0.005527312,9,1
270,2, BDTD,0.007500669,9,1
271,2, BDTF,0.007145625,9,1
272,3, LD,0.005581761,9,1
273,3, MLP,0.008555734,9,1
274,3, MLPBNN,0.00608396,9,1
275,3, DNN_CPU,0.007536097,9,1
276,3, BDTG,0.01701,9,1
277,3, BDTB,0.005905807,9,1
278,3, BDTD,0.008001132,9,1
279,3, BDTF,0.007614792,9,1
280,4, LD,0.007933704,9,1
281,4, MLP,0.01203167,9,1
282,4, MLPBNN,0.008647738,9,1
283,4, DNN_CPU,0.01064975,9,1
284,4, BDTG,0.01701,9,1
285,4, BDTB,0.008419176,9,1
286,4, BDTD,0.01128317,9,1
287,4, BDTF,0.01066857,9,1
288,1, LD,0.008417368,10,1
289,1, MLP,0.0127654,10,1
290,1, MLPBNN,0.009421513,10,1
291,1, DNN_CPU,0.01129882,10,1
292,1, BDTG,0.01240191,10,1
293,1, BDTB,0.00889504,10,1
294,1, BDTD,0.01202531,10,1
295,1, BDTF,0.01150492,10,1
296,2, LD,0.005241159,10,1
297,2, MLP,0.008137911,10,1
298,2, MLPBNN,0.005886287,10,1
299,2, DNN_CPU,0.007082564,10,1
300,2, BDTG,0.01152,10,1
301,2, BDTB,0.005527312,10,1
302,2, BDTD,0.007602903,10,1
303,2, BDTF,0.00963,10,1
304,3, LD,0.005598776,10,1
305,3, MLP,0.008669919,10,1
306,3, MLPBNN,0.006285523,10,1
307,3, DNN_CPU,0.007558709,10,1
308,3, BDTG,0.01152,10,1
309,3, BDTB,0.005905807,10,1
310,3, BDTD,0.008107491,10,1
311,3, BDTF,0.00963,10,1
312,4, LD,0.00796935,10,1
313,4, MLP,0.01212577,10,1
314,4, MLPBNN,0.008924302,10,1
315,4, DNN_CPU,0.01070522,10,1
316,4, BDTG,0.01177345,10,1
317,4, BDTB,0.008419176,10,1
318,4, BDTD,0.01140829,10,1
319,4, BDTF,0.01091268,10,1
